Airportname,Year,longitude,latitude,month,value
Khabarovsk (New),2016,135.171082,48.525706,1,1188.1
Khanty-Mansiysk,2016,69.095798,61.026143999999995,1,23.33
Khatanga,2016,102.473016,71.978434,1,150.51
Chelyabinsk (Balandino),2016,61.50928199999999,55.298164,1,159.0
Reads (tub),2016,113.30649199999999,52.020464000000004,1,141.03
Yuzhno-(Khomutovo),2016,142.723677,46.886967,1,559.97
Yakutsk,2016,129.750225,62.08659399999999,1,431.34
Yamburg,2016,75.09778299999999,67.980026,1,0.45
Yaroslavl (Tunoshna),2016,40.170054,57.56231,1,288.54
Abakan,2015,91.39973499999999,53.751351,1,37.7
Anapa (Vitjazevo),2015,37.341511,45.003748,1,26.6
Arkhangelsk (Talagy),2015,40.714892,64.596138,1,99.6
Astrakhan (Narimanovo),2015,47.999896,46.287344,1,49.75
Novy Urengoy,2015,66.694583,63.697412,1,8.8
Blagoveshchensk,2015,127.40753600000001,50.42238,1,152.4
Bugulma,2015,52.79030600000001,54.634026,1,0.47
Vladivostok (Knevichi),2015,132.16510300000002,43.396702000000005,1,1430.2
Volgograd (Gumrak),2015,44.356743,48.792276,1,55.0
Vorkuta,2015,64.00447,67.49024399999999,1,44.7
Voronezh (Chertovitskoe),2015,39.225359000000005,51.812576,1,7.09
Ekaterinburg (Koltsovo),2015,60.802263,56.75025600000001,1,1124.32
Ivanovo (Yuzhny),2015,40.943709999999996,56.942303,1,117.24
Irkutsk,2015,104.355777,52.273103000000006,1,447.1
Kazan,2015,49.298590999999995,55.608089,1,145.29
Kemerovo,2015,86.118863,55.28199,1,235.58
Kogalym,2015,74.5295,62.195565,1,1.0
Komsomolsk-on-Amur,2015,136.929004,50.403351,1,111.8
Krasnodar (Paszkowski),2015,39.139669,45.033923,1,313.01
Krasnoyarsk (Emelyanovo),2015,92.486391,56.180578000000004,1,710.3
red,2015,94.40495,51.676108,1,0.78
Zabaykalsk,2015,114.831553,60.722584999999995,1,22.31
Magadan (Falcon),2015,150.73116000000002,59.914272,1,414.0
Mineral water,2015,43.087648,44.217799,1,98.7
Peaceful,2015,114.02243100000001,62.531381999999994,1,492.18
Moscow (Vnukovo),2015,37.295014,55.608562,1,1921.84
Moscow (Domodedovo),2015,37.767995,55.43716800000001,1,7736.75
Moscow (Sheremetyevo),2015,37.405974,55.962962,1,10428.9
Murmansk,2015,32.758163,68.784743,1,82.3
Nadym,2015,72.69258,65.479934,1,21.32
Nizhnevartovsk,2015,76.494691,60.951112,1,185.6
Nizhny Novgorod (Strigino),2015,43.791127,56.219628,1,42.86
Nikolaevsk-on-Amur,2015,140.663597,53.149961,1,7.19
Novokuznetsk,2015,86.864303,53.805377,1,64.0
Novosibirsk (Tolmachyovo),2015,82.667491,55.009425,1,1395.7
New Urengoy,2015,76.52242199999999,66.072965,1,151.7
Norilsk,2015,87.342342,69.325039,1,654.73
Noyabrsk,2015,75.274455,63.181841000000006,1,38.11
Omsk (central),2015,73.007305,55.085528000000004,1,158.0
Orenburg (central),2015,55.457063,51.79139,1,68.9
Perm (Bolshoye Savino),2015,56.010461,57.91611999999999,1,119.05
Petropavlovsk (Yelizovo),2015,158.425285,53.169328,1,420.71
Polar,2015,112.038215,66.400137,1,39.16
Rostov-on-Don,2015,39.929081,47.488341999999996,1,256.3
Saint Petersburg (Pulkovo),2015,30.273027000000003,59.799769999999995,1,1204.0
Saratov (central),2015,106.644236,47.454355,1,29.5
Sochi,2015,39.941316,43.448370000000004,1,94.84
Stavropol (Shpakovskoye),2015,42.105169000000004,45.112737,1,49.0
Surgut,2015,73.40807,61.34020400000001,1,237.6
Syktyvkar,2015,50.851293,61.663805,1,40.99
Tiksi,2015,128.888094,71.698596,1,12.7
Tomsk (Bogashevo),2015,85.209517,56.388412,1,86.98
Tyumen (Roschino),2015,65.348628,57.181514,1,246.9
Ufa,2015,55.883529,54.566329,1,187.27
Khabarovsk (MVL),2015,135.171082,48.525706,1,0.1
Khabarovsk (New),2015,135.171082,48.525706,1,1254.63
Khanty-Mansiysk,2015,69.095798,61.026143999999995,1,37.41
